Well,Tube.ID
A1,1
B1,7
C1,13
D1,19
E1,25
F1,31
G1,NA
H1,NA
A2,1
B2,7
C2,13
D2,19
E2,25
F2,31
G2,NA
H2,NA
A3,2
B3,8
C3,14
D3,20
E3,26
F3,32
G3,NA
H3,NA
A4,2
B4,8
C4,14
D4,20
E4,26
F4,32
G4,NA
H4,NA
A5,3
B5,9
C5,15
D5,21
E5,27
F5,33
G5,NA
H5,NA
A6,3
B6,9
C6,15
D6,21
E6,27
F6,33
G6,NA
H6,NA
A7,4
B7,10
C7,16
D7,22
E7,28
F7,34
G7,NA
H7,NA
A8,4
B8,10
C8,16
D8,22
E8,28
F8,34
G8,NA
H8,NA
A9,5
B9,11
C9,17
D9,23
E9,29
F9,H2O
G9,NA
H9,NA
A10,5
B10,11
C10,17
D10,23
E10,29
F10,H2O
G10,NA
H10,NA
A11,6
B11,12
C11,18
D11,24
E11,30
F11,Ace
G11,NA
H11,NA
A12,6
B12,12
C12,18
D12,24
E12,30
F12,Ace
G12,NA
H12,NA