Target,WBR % ,Position7,Position8,Position9,Position10,Position11,Position12,Average,Step
0,0,0,0,0,0,0,0,0,1
20,5,23,24,23,23,30,27,25,2
40,8,42,41,42,46,50,46,45,3
80,10,73,67,69,71,84,71,73,4
110,14,115,112,114,128,158,136,127,5
160,19,167,167,158,184,190,184,175,6
270,30,300,313,314,328,422,357,339,7
480,48,487,531,490,532,660,583,547,8
630,66,658,679,667,732,900,769,734,9
860,78,815,813,810,863,1020,877,866,10
1100,100,1097,1013,1046,1063,1337,1193,1125,11
1300,100 + lower ,1293,959,955,1072,950,934,1027,12